,dataset,style,valid_samples,total_samples,validity,diversity,retro_score,membership
0,acrylates,ars-2025-09-18_16-51-01,135,1000,0.91,0.74,0.7900,0.91
1,acrylates,ars-2025-09-18_17-52-41,133,1000,0.9,0.74,0.7200,0.9
2,acrylates,ars-2025-09-18_19-57-45,148,1000,0.92,0.74,0.7700,0.9
3,acrylates,cars-2025-09-18_16-55-58,256,1000,0.9,0.77,0.7500,0.9
4,acrylates,cars-2025-09-18_18-06-33,281,1000,0.96,0.74,0.7000,0.94
5,acrylates,cars-2025-09-18_20-38-08,290,1000,0.92,0.76,0.6800,0.91
6,acrylates,mcmc-restart-5,100,500,0.91,0.84,0.8300,0.69
7,acrylates,rs-2025-09-18_15-52-20,64,1000,0.0,0.00,0.0000,0.0
8,acrylates,rs-2025-09-18_16-53-11,62,1000,0.0,0.00,0.0000,0.0
9,acrylates,rs-2025-09-18_17-57-30,51,1000,0.0,0.00,0.0000,0.0
10,acrylates,rsft-2025-09-18_15-52-25,34,1000,0.0,0.00,0.0000,0.0
11,acrylates,rsft-2025-09-18_16-58-22,48,1000,0.0,0.00,0.0000,0.0
12,acrylates,rsft-2025-09-18_18-01-27,47,1000,0.0,0.00,0.0000,0.0
13,chain_extenders,ars-2025-09-18_16-08-31,922,1000,0.94,0.87,0.5400,0.9
14,chain_extenders,ars-2025-09-18_17-06-43,911,1000,0.93,0.88,0.4500,0.91
15,chain_extenders,ars-2025-09-18_21-15-49,902,1000,0.95,0.87,0.5600,0.91
16,chain_extenders,cars-2025-09-18_16-10-07,933,1000,0.93,0.87,0.5400,0.9
17,chain_extenders,cars-2025-09-18_18-25-40,947,1000,0.93,0.87,0.5000,0.92
18,chain_extenders,cars-2025-09-18_20-48-35,935,1000,0.93,0.87,0.4800,0.92
19,chain_extenders,mcmc-restart-5,100,500,0.93,0.87,0.5400,0.9
20,chain_extenders,rs-2025-09-18_16-16-58,901,1000,0.95,0.88,0.5900,0.9
21,chain_extenders,rs-2025-09-18_17-19-11,893,1000,0.95,0.88,0.3900,0.94
22,chain_extenders,rs-2025-09-18_18-18-07,930,1000,0.88,0.88,0.4600,0.86
23,chain_extenders,rsft-2025-09-18_16-21-49,900,1000,0.94,0.87,0.5000,0.91
24,chain_extenders,rsft-2025-09-18_17-25-10,929,1000,0.93,0.87,0.5800,0.89
25,chain_extenders,rsft-2025-09-18_18-36-03,907,1000,0.95,0.88,0.5300,0.94
26,isocyanates,ars-2025-09-18_16-23-40,631,1000,0.82,0.86,0.4800,0.77
27,isocyanates,ars-2025-09-18_17-21-39,627,1000,0.77,0.86,0.4800,0.71
28,isocyanates,ars-2025-09-18_19-26-50,639,1000,0.7,0.86,0.4700,0.65
29,isocyanates,cars-2025-09-18_16-25-42,711,1000,0.76,0.86,0.4500,0.75
30,isocyanates,cars-2025-09-18_20-08-23,667,1000,0.77,0.87,0.4800,0.7
31,isocyanates,cars-2025-09-18_20-58-45,693,1000,0.75,0.87,0.4700,0.71
32,isocyanates,mcmc-restart-5,100,500,0.57,0.86,0.3500,0.52
33,isocyanates,rs-2025-09-18_16-30-52,467,1000,0.78,0.87,0.4500,0.72
34,isocyanates,rs-2025-09-18_17-34-32,456,1000,0.73,0.86,0.4500,0.69
35,isocyanates,rs-2025-09-18_19-33-08,460,1000,0.75,0.87,0.4800,0.7
36,isocyanates,rsft-2025-09-18_16-36-46,432,1000,0.71,0.86,0.3700,0.71
37,isocyanates,rsft-2025-09-18_17-36-52,438,1000,0.68,0.86,0.4500,0.68
38,isocyanates,rsft-2025-09-18_20-07-38,469,1000,0.68,0.86,0.4500,0.65
