model,dataset,style,valid_samples,total_samples,validity,diversity,retro_score,membership,novelty,qed,lipinski,scaffold_div
llama_31_8b,acrylates,ars-2025-09-18_16-51-01,135,1000,0.91,0.74,0.0000,0.91,0.96,0.421,0.99,0.31
llama_31_8b,acrylates,ars-2025-09-18_17-52-41,133,1000,0.90,0.74,0.0000,0.90,0.96,0.399,0.98,0.30
llama_31_8b,acrylates,ars-2025-09-18_19-57-45,148,1000,0.92,0.74,0.0000,0.90,0.95,0.410,0.99,0.28
llama_31_8b,acrylates,cars-2025-09-18_16-55-58,256,1000,0.90,0.77,0.0000,0.90,0.96,0.416,0.99,0.33
llama_31_8b,acrylates,cars-2025-09-18_18-06-33,281,1000,0.96,0.74,0.0000,0.94,0.92,0.407,0.99,0.30
llama_31_8b,acrylates,cars-2025-09-18_20-38-08,290,1000,0.92,0.76,0.0000,0.91,0.95,0.411,0.97,0.26
llama_31_8b,acrylates,rs-2025-09-19_20-46-18,98,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
llama_31_8b,acrylates,rs-2025-09-19_21-23-56,93,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
llama_31_8b,acrylates,rs-2025-09-19_22-01-54,95,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
llama_31_8b,acrylates,rsft-2025-09-19_20-46-33,94,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
llama_31_8b,acrylates,rsft-2025-09-19_21-24-03,97,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
llama_31_8b,acrylates,rsft-2025-09-19_22-01-31,76,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
llama_31_8b,chain,ars-2025-09-18_16-08-31,922,1000,0.94,0.87,0.0000,0.90,1.00,0.462,0.95,0.14
llama_31_8b,chain,ars-2025-09-18_17-06-43,911,1000,0.93,0.88,0.0000,0.91,1.00,0.497,0.99,0.20
llama_31_8b,chain,ars-2025-09-18_21-15-49,902,1000,0.95,0.87,0.0000,0.91,1.00,0.491,1.00,0.16
llama_31_8b,chain,cars-2025-09-18_16-10-07,933,1000,0.93,0.87,0.0000,0.90,1.00,0.505,0.99,0.18
llama_31_8b,chain,cars-2025-09-18_18-25-40,947,1000,0.93,0.87,0.0000,0.92,0.99,0.481,0.98,0.22
llama_31_8b,chain,cars-2025-09-18_20-48-35,935,1000,0.93,0.87,0.0000,0.92,1.00,0.505,0.99,0.15
llama_31_8b,chain,rs-2025-09-19_21-16-26,100,113,0.94,0.87,0.0000,0.88,1.00,0.499,0.97,0.21
llama_31_8b,chain,rs-2025-09-19_21-53-42,100,119,0.97,0.87,0.0000,0.92,1.00,0.483,0.96,0.23
llama_31_8b,chain,rs-2025-09-19_22-31-31,100,109,0.93,0.88,0.0000,0.91,1.00,0.492,0.98,0.26
llama_31_8b,chain,rsft-2025-09-19_21-16-37,100,110,0.96,0.87,0.0000,0.95,1.00,0.477,0.96,0.14
llama_31_8b,chain,rsft-2025-09-19_21-53-38,100,112,0.92,0.87,0.0000,0.87,1.00,0.508,0.99,0.22
llama_31_8b,chain,rsft-2025-09-19_22-31-16,100,103,0.93,0.88,0.0000,0.91,1.00,0.510,0.99,0.18
llama_31_8b,isocyanates,ars-2025-09-18_16-23-40,631,1000,0.82,0.86,0.0000,0.77,0.99,0.389,0.88,0.50
llama_31_8b,isocyanates,ars-2025-09-18_17-21-39,627,1000,0.77,0.86,0.0000,0.71,0.99,0.424,0.83,0.61
llama_31_8b,isocyanates,ars-2025-09-18_19-26-50,639,1000,0.70,0.86,0.0000,0.65,1.00,0.429,0.84,0.63
llama_31_8b,isocyanates,cars-2025-09-18_16-25-42,711,1000,0.76,0.86,0.0000,0.75,1.00,0.414,0.86,0.62
llama_31_8b,isocyanates,cars-2025-09-18_20-08-23,667,1000,0.77,0.87,0.0000,0.70,1.00,0.428,0.88,0.61
llama_31_8b,isocyanates,cars-2025-09-18_20-58-45,693,1000,0.75,0.87,0.0000,0.71,0.99,0.388,0.81,0.52
llama_31_8b,isocyanates,rs-2025-09-19_21-18-23,100,247,0.81,0.87,0.0000,0.74,0.99,0.435,0.85,0.63
llama_31_8b,isocyanates,rs-2025-09-19_21-55-56,100,247,0.63,0.87,0.0000,0.59,1.00,0.432,0.87,0.70
llama_31_8b,isocyanates,rs-2025-09-19_22-33-28,100,226,0.73,0.86,0.0000,0.70,1.00,0.404,0.82,0.52
llama_31_8b,isocyanates,rsft-2025-09-19_21-18-25,100,214,0.61,0.86,0.0000,0.59,1.00,0.396,0.85,0.51
llama_31_8b,isocyanates,rsft-2025-09-19_21-55-27,100,233,0.68,0.86,0.0000,0.66,1.00,0.415,0.90,0.60
llama_31_8b,isocyanates,rsft-2025-09-19_22-32-26,100,228,0.66,0.86,0.0000,0.64,0.98,0.431,0.82,0.65
