model,dataset,method,valid_samples,total_samples,validity,diversity,retro_score,membership,novelty,qed,lipinski,scaffold_div
llama_31_8b,acrylates,ars,138.66666666666666,1000.0,0.91,0.7394827927178799,0.7600000000000001,0.9033333333333333,0.952417228504185,0.4098422532379437,0.9853064005237918,0.2967670011148272
llama_31_8b,acrylates,cars,275.6666666666667,1000.0,0.9266666666666667,0.756442147934008,0.71,0.9166666666666666,0.9392914653784219,0.41128486724664864,0.9819545088566827,0.29876207729468596
llama_31_8b,acrylates,rs,95.33333333333333,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_31_8b,acrylates,rsft,89.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama_31_8b,chain,ars,911.6666666666666,1000.0,0.94,0.8752626670866435,0.5166666666666667,0.9066666666666667,1.0,0.4834693713682165,0.9786852741554183,0.16683122815044935
llama_31_8b,chain,cars,938.3333333333334,1000.0,0.93,0.8729109544343406,0.5066666666666667,0.9133333333333334,0.996415770609319,0.49684860815209503,0.985663082437276,0.18279569892473116
llama_31_8b,chain,rs,100.0,113.66666666666667,0.9466666666666667,0.8749792815765659,0.5599999999999999,0.9033333333333333,1.0,0.4913805759658258,0.9684475388789436,0.23254486576239364
llama_31_8b,chain,rsft,100.0,108.33333333333333,0.9366666666666666,0.873996197453212,0.53,0.91,1.0,0.4982092795394005,0.978903693314633,0.17853455664640797
llama_31_8b,isocyanates,ars,632.3333333333334,1000.0,0.7633333333333333,0.8587165934137349,0.47666666666666657,0.71,0.9916059550205891,0.41360959126591146,0.8506915848379263,0.5796536796536796
llama_31_8b,isocyanates,cars,690.3333333333334,1000.0,0.7600000000000001,0.8654810007684315,0.4666666666666666,0.7200000000000001,0.9955555555555556,0.41007116321238346,0.8505711247816511,0.5829368876737298
llama_31_8b,isocyanates,rs,100.0,240.0,0.7233333333333333,0.867527488762288,0.45,0.6766666666666666,0.9958847736625515,0.42395763777146905,0.8489285110289676,0.6161967577492692
llama_31_8b,isocyanates,rsft,100.0,225.0,0.65,0.8599052894663645,0.41333333333333333,0.63,0.9949494949494949,0.4139464579210664,0.8558998860348909,0.587551016432405
