,dataset,style,valid_samples,total_samples,validity,diversity,retro_score,membership
0,acrylates,ars-2025-09-18_15-52-32,138,1000,0.92,0.76,0.7700,0.91
1,acrylates,ars-2025-09-18_16-51-01,135,1000,0.91,0.74,0.7900,0.91
2,acrylates,ars-2025-09-18_17-52-41,133,1000,0.9,0.74,0.7200,0.9
3,acrylates,ars-2025-09-18_19-57-45,148,1000,0.92,0.74,0.7700,0.9
50,acrylates,ars-qwen2_5_7b-2025-09-18_22-11-58,771,1000,0.99,0.23,0.9700,0.99
51,acrylates,ars-qwen2_5_7b-2025-09-18_23-45-51,776,1000,1.0,0.24,1.0000,1.0
52,acrylates,ars-qwen2_5_7b-2025-09-19_01-02-10,784,1000,1.0,0.21,1.0000,1.0
4,acrylates,cars-2025-09-18_15-52-45,287,1000,0.87,0.72,0.6200,0.86
5,acrylates,cars-2025-09-18_16-55-58,256,1000,0.9,0.77,0.7500,0.9
6,acrylates,cars-2025-09-18_18-06-33,281,1000,0.96,0.74,0.7000,0.94
7,acrylates,cars-2025-09-18_19-21-34,272,1000,0.91,0.75,0.6900,0.89
8,acrylates,cars-2025-09-18_20-38-08,290,1000,0.92,0.76,0.6800,0.91
53,acrylates,cars-qwen2_5_7b-2025-09-18_22-12-14,890,1000,0.99,0.28,0.9700,0.99
54,acrylates,cars-qwen2_5_7b-2025-09-18_22-49-03,885,1000,0.99,0.21,0.9700,0.99
55,acrylates,cars-qwen2_5_7b-2025-09-18_23-27-58,895,1000,0.99,0.25,0.9800,0.99
9,acrylates,rs-2025-09-18_15-52-20,64,1000,0.0,0.00,0.0000,0.0
10,acrylates,rs-2025-09-18_16-53-11,62,1000,0.0,0.00,0.0000,0.0
11,acrylates,rs-2025-09-18_17-57-30,51,1000,0.0,0.00,0.0000,0.0
56,acrylates,rs-qwen2_5_7b-2025-09-18_22-11-39,5,1000,0.0,0.00,0.0000,0.0
57,acrylates,rs-qwen2_5_7b-2025-09-18_23-44-58,4,1000,0.0,0.00,0.0000,0.0
58,acrylates,rs-qwen2_5_7b-2025-09-19_04-43-53,2,1000,0.0,0.00,0.0000,0.0
12,acrylates,rsft-2025-09-18_15-52-25,34,1000,0.0,0.00,0.0000,0.0
13,acrylates,rsft-2025-09-18_16-58-22,48,1000,0.0,0.00,0.0000,0.0
14,acrylates,rsft-2025-09-18_18-01-27,47,1000,0.0,0.00,0.0000,0.0
15,acrylates,rsft-2025-09-18_19-19-21,50,1000,0.0,0.00,0.0000,0.0
59,acrylates,rsft-qwen2_5_7b-2025-09-18_22-11-54,1,1000,0.0,0.00,0.0000,0.0
60,acrylates,rsft-qwen2_5_7b-2025-09-18_23-45-55,1,1000,0.0,0.00,0.0000,0.0
61,acrylates,rsft-qwen2_5_7b-2025-09-19_00-58-10,2,1000,0.0,0.00,0.0000,0.0
17,chain_extenders,ars-2025-09-18_16-08-31,922,1000,0.94,0.87,0.5400,0.9
18,chain_extenders,ars-2025-09-18_17-06-43,911,1000,0.93,0.88,0.4500,0.91
19,chain_extenders,ars-2025-09-18_19-09-11,920,1000,0.96,0.88,0.6100,0.94
20,chain_extenders,ars-2025-09-18_21-15-49,902,1000,0.95,0.87,0.5600,0.91
63,chain_extenders,ars-qwen2_5_7b-2025-09-18_22-39-31,972,1000,1.0,0.75,0.3600,1.0
64,chain_extenders,ars-qwen2_5_7b-2025-09-19_00-07-05,978,1000,1.0,0.76,0.3400,1.0
65,chain_extenders,ars-qwen2_5_7b-2025-09-19_01-22-32,976,1000,0.98,0.79,0.4300,0.98
21,chain_extenders,cars-2025-09-18_16-10-07,933,1000,0.93,0.87,0.5400,0.9
22,chain_extenders,cars-2025-09-18_17-12-54,938,1000,0.9,0.88,0.5100,0.87
23,chain_extenders,cars-2025-09-18_18-25-40,947,1000,0.93,0.87,0.5000,0.92
24,chain_extenders,cars-2025-09-18_19-51-50,936,1000,0.91,0.87,0.5100,0.88
25,chain_extenders,cars-2025-09-18_20-48-35,935,1000,0.93,0.87,0.4800,0.92
66,chain_extenders,cars-qwen2_5_7b-2025-09-18_22-23-03,993,1000,0.98,0.72,0.3300,0.98
67,chain_extenders,cars-qwen2_5_7b-2025-09-18_22-59-30,996,1000,1.0,0.77,0.3700,1.0
68,chain_extenders,cars-qwen2_5_7b-2025-09-18_23-38-34,994,1000,1.0,0.75,0.4100,1.0
