model,dataset,style,valid_samples,total_samples,validity,diversity,retro_score,membership,novelty,qed,lipinski,scaffold_div
qwen_25_14b,acrylates,ars-2025-09-19_23-24-29,100,169,1.00,0.66,0.0000,0.98,0.97,0.446,1.00,0.07
qwen_25_14b,acrylates,ars-2025-09-19_23-37-35,100,167,0.99,0.67,0.0000,0.98,0.99,0.450,1.00,0.06
qwen_25_14b,acrylates,ars-2025-09-19_23-52-22,100,167,1.00,0.65,0.0000,0.97,0.97,0.447,1.00,0.05
qwen_25_14b,acrylates,cars-2025-09-19_23-24-34,100,145,1.00,0.62,0.0000,1.00,0.99,0.443,1.00,0.04
qwen_25_14b,acrylates,cars-2025-09-19_23-37-14,100,143,1.00,0.66,0.0000,0.99,0.99,0.448,1.00,0.05
qwen_25_14b,acrylates,cars-2025-09-19_23-49-57,100,138,1.00,0.63,0.0000,0.98,0.99,0.450,1.00,0.05
qwen_25_14b,acrylates,rs-2025-09-19_20-43-51,100,1036,1.00,0.66,0.0000,0.99,0.98,0.446,1.00,0.06
qwen_25_14b,acrylates,rs-2025-09-19_21-20-57,100,957,1.00,0.65,0.0000,0.98,0.97,0.453,1.00,0.05
qwen_25_14b,acrylates,rs-2025-09-19_21-56-38,100,1174,1.00,0.64,0.0000,1.00,0.96,0.444,1.00,0.06
qwen_25_14b,acrylates,rsft-2025-09-19_20-45-10,100,901,1.00,0.64,0.0000,1.00,0.98,0.436,0.99,0.04
qwen_25_14b,acrylates,rsft-2025-09-19_21-17-52,100,947,1.00,0.64,0.0000,0.98,0.98,0.450,0.99,0.05
qwen_25_14b,acrylates,rsft-2025-09-19_21-53-49,100,1033,1.00,0.65,0.0000,1.00,0.99,0.452,1.00,0.05
qwen_25_14b,chain,ars-2025-09-19_23-29-56,100,100,0.92,0.74,0.0000,0.92,1.00,0.402,0.96,0.04
qwen_25_14b,chain,ars-2025-09-19_23-43-21,100,102,0.89,0.76,0.0000,0.89,1.00,0.373,0.87,0.04
qwen_25_14b,chain,ars-2025-09-19_23-58-10,100,101,0.91,0.75,0.0000,0.91,0.98,0.398,0.91,0.04
qwen_25_14b,chain,cars-2025-09-19_23-29-31,100,102,0.87,0.75,0.0000,0.87,1.00,0.394,0.93,0.05
qwen_25_14b,chain,cars-2025-09-19_23-42-25,100,101,0.88,0.76,0.0000,0.88,0.99,0.391,0.90,0.05
qwen_25_14b,chain,cars-2025-09-19_23-54-57,100,100,0.90,0.75,0.0000,0.90,0.99,0.406,0.92,0.04
qwen_25_14b,chain,rs-2025-09-19_21-13-25,100,102,0.93,0.75,0.0000,0.93,1.00,0.392,0.96,0.03
qwen_25_14b,chain,rs-2025-09-19_21-49-15,100,100,0.92,0.74,0.0000,0.92,1.00,0.413,0.96,0.03
qwen_25_14b,chain,rs-2025-09-19_22-30-51,100,100,0.92,0.75,0.0000,0.92,0.99,0.409,0.92,0.03
qwen_25_14b,chain,rsft-2025-09-19_21-10-36,100,101,0.89,0.74,0.0000,0.89,1.00,0.394,0.93,0.07
qwen_25_14b,chain,rsft-2025-09-19_21-45-39,100,102,0.93,0.75,0.0000,0.93,1.00,0.417,0.96,0.02
qwen_25_14b,chain,rsft-2025-09-19_22-23-12,100,101,0.91,0.75,0.0000,0.91,1.00,0.408,0.95,0.02
qwen_25_14b,isocyanates,ars-2025-09-19_23-32-52,100,105,0.97,0.80,0.0000,0.96,1.00,0.463,0.98,0.32
qwen_25_14b,isocyanates,ars-2025-09-19_23-48-03,100,107,0.97,0.78,0.0000,0.97,1.00,0.438,0.97,0.33
qwen_25_14b,isocyanates,ars-2025-09-20_00-00-56,100,110,0.99,0.79,0.0000,0.99,1.00,0.448,0.99,0.31
qwen_25_14b,isocyanates,cars-2025-09-19_23-32-35,100,105,0.99,0.79,0.0000,0.99,1.00,0.453,0.99,0.28
qwen_25_14b,isocyanates,cars-2025-09-19_23-45-31,100,102,0.94,0.79,0.0000,0.94,1.00,0.456,0.99,0.39
qwen_25_14b,isocyanates,cars-2025-09-19_23-58-04,100,104,0.97,0.78,0.0000,0.97,1.00,0.463,0.99,0.28
qwen_25_14b,isocyanates,rs-2025-09-19_21-16-28,100,121,0.99,0.77,0.0000,0.99,1.00,0.474,1.00,0.24
qwen_25_14b,isocyanates,rs-2025-09-19_21-52-13,100,121,0.98,0.78,0.0000,0.98,1.00,0.449,0.99,0.23
qwen_25_14b,isocyanates,rs-2025-09-19_22-33-31,100,120,0.97,0.79,0.0000,0.97,1.00,0.473,1.00,0.34
qwen_25_14b,isocyanates,rsft-2025-09-19_21-13-35,100,117,0.99,0.78,0.0000,0.99,1.00,0.461,0.99,0.21
qwen_25_14b,isocyanates,rsft-2025-09-19_21-48-40,100,127,0.99,0.78,0.0000,0.99,1.00,0.448,0.99,0.30
qwen_25_14b,isocyanates,rsft-2025-09-19_22-26-06,100,122,0.98,0.78,0.0000,0.98,1.00,0.453,0.99,0.32
