model,dataset,method,valid_samples,total_samples,validity,diversity,retro_score,membership,novelty,qed,lipinski,scaffold_div
qwen_25_14b,acrylates,ars,100.0,167.66666666666666,0.9966666666666667,0.6577843009867098,0.9133333333333334,0.9766666666666666,0.9766329966329966,0.44753088272258584,1.0,0.0602020202020202
qwen_25_14b,acrylates,cars,100.0,142.0,1.0,0.6362933241576946,0.9566666666666667,0.9899999999999999,0.9899999999999999,0.4466159175799051,1.0,0.04666666666666667
qwen_25_14b,acrylates,rs,100.0,1055.6666666666667,1.0,0.6522329557115093,0.94,0.9899999999999999,0.9700000000000001,0.4476861506724556,1.0,0.056666666666666664
qwen_25_14b,acrylates,rsft,100.0,960.3333333333334,1.0,0.6407857001386125,0.9433333333333334,0.9933333333333333,0.9833333333333334,0.4461490933522092,0.9933333333333333,0.04666666666666667
qwen_25_14b,chain,ars,100.0,101.0,0.9066666666666667,0.7481578857811835,0.51,0.9066666666666667,0.9926739926739927,0.39075705961668733,0.9112593968480631,0.04412604168344276
qwen_25_14b,chain,cars,100.0,101.0,0.8833333333333333,0.7518650118018249,0.5066666666666667,0.8833333333333333,0.9925084175084176,0.39709135889493236,0.9169946592360385,0.045292000464414256
qwen_25_14b,chain,rs,100.0,100.66666666666667,0.9233333333333333,0.7460234480306743,0.54,0.9233333333333333,0.9963768115942028,0.40482963579744896,0.9458080099735079,0.032491818606825616
qwen_25_14b,chain,rsft,100.0,101.33333333333333,0.91,0.7469856686217774,0.5466666666666667,0.91,1.0,0.4061446496604418,0.9448761540098981,0.03696637621972888
qwen_25_14b,isocyanates,ars,100.0,107.33333333333333,0.9766666666666666,0.7864671833505184,0.6433333333333332,0.9733333333333333,1.0,0.4499390456806491,0.9794508660488042,0.3208719497379291
qwen_25_14b,isocyanates,cars,100.0,103.66666666666667,0.9666666666666667,0.7884015882515247,0.66,0.9666666666666667,1.0,0.4573368655020464,0.989650471225378,0.3182652731895987
qwen_25_14b,isocyanates,rs,100.0,120.66666666666667,0.98,0.7791328694930236,0.7033333333333333,0.98,1.0,0.4654228579758679,0.9965986394557823,0.27244143518075775
qwen_25_14b,isocyanates,rsft,100.0,122.0,0.9866666666666667,0.7791487160692144,0.6666666666666666,0.9866666666666667,1.0,0.45377993730543786,0.9898646327217756,0.27715934858792
