model,dataset,style,valid_samples,total_samples,validity,diversity,retro_score,membership,novelty,qed,lipinski,scaffold_div
qwen_25_7b,acrylates,ars-qwen2_5_7b-2025-09-18_22-11-58,771,1000,0.99,0.23,0.9700,0.99,0.90,0.340,1.00,0.04
qwen_25_7b,acrylates,ars-qwen2_5_7b-2025-09-18_23-45-51,776,1000,1.00,0.24,1.0000,1.00,0.91,0.347,0.98,0.05
qwen_25_7b,acrylates,ars-qwen2_5_7b-2025-09-19_01-02-10,784,1000,1.00,0.21,1.0000,1.00,0.88,0.336,0.97,0.04
qwen_25_7b,acrylates,cars-qwen2_5_7b-2025-09-18_22-12-14,890,1000,0.99,0.28,0.9700,0.99,0.90,0.351,0.98,0.02
qwen_25_7b,acrylates,cars-qwen2_5_7b-2025-09-18_22-49-03,885,1000,0.99,0.21,0.9700,0.99,0.88,0.338,0.99,0.05
qwen_25_7b,acrylates,cars-qwen2_5_7b-2025-09-18_23-27-58,895,1000,0.99,0.25,0.9800,0.99,0.88,0.346,0.99,0.05
qwen_25_7b,acrylates,rs-2025-09-19_23-24-59,4,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
qwen_25_7b,acrylates,rs-2025-09-20_00-05-17,11,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
qwen_25_7b,acrylates,rs-2025-09-20_00-26-54,5,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
qwen_25_7b,acrylates,rsft-2025-09-19_23-25-02,7,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
qwen_25_7b,acrylates,rsft-2025-09-20_00-03-37,5,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
qwen_25_7b,acrylates,rsft-2025-09-20_00-25-28,6,2000,0.00,0.00,0.0000,0.00,0.00,0.000,0.00,0.00
qwen_25_7b,chain,ars-qwen2_5_7b-2025-09-18_22-39-31,972,1000,1.00,0.75,0.3600,1.00,0.96,0.455,0.97,0.01
qwen_25_7b,chain,ars-qwen2_5_7b-2025-09-19_00-07-05,978,1000,1.00,0.76,0.3400,1.00,0.90,0.449,0.96,0.01
qwen_25_7b,chain,ars-qwen2_5_7b-2025-09-19_01-22-32,976,1000,0.98,0.79,0.4300,0.98,0.92,0.448,0.95,0.01
qwen_25_7b,chain,cars-qwen2_5_7b-2025-09-18_22-23-03,993,1000,0.98,0.72,0.3300,0.98,0.90,0.441,0.98,0.01
qwen_25_7b,chain,cars-qwen2_5_7b-2025-09-18_22-59-30,996,1000,1.00,0.77,0.3700,1.00,0.94,0.468,0.99,0.02
qwen_25_7b,chain,cars-qwen2_5_7b-2025-09-18_23-38-34,994,1000,1.00,0.75,0.4100,1.00,0.92,0.456,0.95,0.01
qwen_25_7b,chain,rs-2025-09-19_23-59-42,100,102,0.99,0.75,0.3200,0.99,0.99,0.456,0.99,0.01
qwen_25_7b,chain,rs-2025-09-20_00-23-46,100,107,0.99,0.77,0.3600,0.99,0.92,0.453,0.98,0.01
qwen_25_7b,chain,rs-2025-09-20_00-47-13,100,103,0.97,0.76,0.2600,0.97,0.97,0.451,0.97,0.01
qwen_25_7b,chain,rsft-2025-09-19_23-58-57,100,105,1.00,0.76,0.3300,1.00,0.92,0.451,0.96,0.01
qwen_25_7b,chain,rsft-2025-09-20_00-22-02,100,104,0.98,0.75,0.3000,0.98,0.96,0.446,0.96,0.01
qwen_25_7b,chain,rsft-2025-09-20_00-44-04,100,101,0.99,0.73,0.2900,0.99,0.97,0.442,0.97,0.01
qwen_25_7b,isocyanates,ars-qwen2_5_7b-2025-09-18_22-53-48,951,1000,0.88,0.78,0.4600,0.88,1.00,0.436,0.81,0.47
qwen_25_7b,isocyanates,ars-qwen2_5_7b-2025-09-19_00-18-06,943,1000,0.85,0.75,0.3700,0.85,1.00,0.414,0.75,0.52
qwen_25_7b,isocyanates,ars-qwen2_5_7b-2025-09-19_01-32-37,952,1000,0.85,0.75,0.3900,0.85,1.00,0.463,0.84,0.53
qwen_25_7b,isocyanates,cars-qwen2_5_7b-2025-09-18_22-28-15,958,1000,0.87,0.76,0.4200,0.87,1.00,0.413,0.76,0.48
qwen_25_7b,isocyanates,cars-qwen2_5_7b-2025-09-18_23-04-41,958,1000,0.88,0.76,0.4100,0.88,1.00,0.455,0.82,0.44
qwen_25_7b,isocyanates,cars-qwen2_5_7b-2025-09-18_23-43-37,952,1000,0.86,0.76,0.4600,0.86,1.00,0.468,0.91,0.49
qwen_25_7b,isocyanates,rs-2025-09-20_00-00-53,100,107,0.83,0.76,0.4300,0.83,0.99,0.445,0.83,0.49
qwen_25_7b,isocyanates,rs-2025-09-20_00-24-30,100,107,0.88,0.76,0.4100,0.88,0.99,0.429,0.82,0.44
qwen_25_7b,isocyanates,rs-2025-09-20_00-48-56,100,106,0.91,0.76,0.3800,0.91,1.00,0.455,0.81,0.51
qwen_25_7b,isocyanates,rsft-2025-09-20_00-00-13,100,108,0.90,0.78,0.4700,0.90,1.00,0.467,0.88,0.51
qwen_25_7b,isocyanates,rsft-2025-09-20_00-23-05,100,109,0.92,0.76,0.3700,0.92,1.00,0.424,0.77,0.55
qwen_25_7b,isocyanates,rsft-2025-09-20_00-44-49,100,109,0.90,0.77,0.4300,0.90,0.99,0.426,0.80,0.52
